,_id,Date,Name of the Page,Url,Person Name,Person Url,Likes Counts,Comments Counts,Share Counts,Likes_Comments_Shares_Counts,Comments,Comments_Only
0,62f0a69b63da2312df895b6e,2022-08-01,Madras Talkies,https://www.facebook.com/madrastalkiesofficial/photos/pcb.3059776704239910/3059768597574054/,Krishnamoorthy Rama,https://www.facebook.com/krishnamoorthy.rama?comment_id=Y29tbWVudDozMDU5NzY4NTk3NTc0MDU0XzgwMjczMzI3NDQzMjk2NA%3D%3D&__tn__=R*F,"1.4K
1.4K",['22 comments'],['52 shares'],"1.4K
1.4K
22 comments
52 shares","Krishnamoorthy Rama
இது அமரர் கல்கியின் அவர்களின் பொன்னியின் செல்வன் இல்லை
மணிரத்னதின் கதை
எதிர்பார்ப்பு அவசியம் தவிர்க்கவும்","['இது அமரர் கல்கியின் அவர்களின் பொன்னியின் செல்வன் இல்லை', 'மணிரத்னதின் கதை', 'எதிர்பார்ப்பு அவசியம் தவிர்க்கவும்']"
1,62f0a69b63da2312df895b6f,2022-08-01,Madras Talkies,https://www.facebook.com/madrastalkiesofficial/photos/pcb.3059776704239910/3059768597574054/,என்றும் உன் நினைவுகளோடு,https://www.facebook.com/krishna.kannan.9461?comment_id=Y29tbWVudDozMDU5NzY4NTk3NTc0MDU0XzEwNDc2MzY4NTI1NTU3MTM%3D&__tn__=R*F,"1.4K
1.4K",['22 comments'],['52 shares'],"1.4K
1.4K
22 comments
52 shares","என்றும் உன் நினைவுகளோடு
Krishnamoorthy Rama எனக்கும் அப்படித்தான் தெரிகிறது பிரதர்","['என்றும் உன் நினைவுகளோடு', 'Krishnamoorthy Rama எனக்கும் அப்படித்தான் தெரிகிறது பிரதர்']"
2,62f0a69b63da2312df895b70,2022-08-01,Madras Talkies,https://www.facebook.com/madrastalkiesofficial/photos/pcb.3059776704239910/3059768597574054/,Viswanathan Udhyasankar,https://www.facebook.com/viswanathan.udhyasankar?comment_id=Y29tbWVudDozMDU5NzY4NTk3NTc0MDU0XzE1Njc3MDI5NzY5NjUxNTE%3D&__tn__=R*F,"1.4K
1.4K",['22 comments'],['52 shares'],"1.4K
1.4K
22 comments
52 shares","Viswanathan Udhyasankar
Madras Talkies சோழ வம்சத்தோட அடையாளம் திவிர சிவன் பக்தர்கள் ஆனால் இந்த படத்தில் யார் நெற்றியிலும் விபுதி இருப்பதாக தெரியவில்லை இதில் இருந்து தெரிகிறது இயக்குனர் இவ்வளவு மட்டமனவர்.
சாட்சி… See more","['Viswanathan Udhyasankar', 'Madras Talkies சோழ வம்சத்தோட அடையாளம் திவிர சிவன் பக்தர்கள் ஆனால் இந்த படத்தில் யார் நெற்றியிலும் விபுதி இருப்பதாக தெரியவில்லை இதில் இருந்து தெரிகிறது இயக்குனர் இவ்வளவு மட்டமனவர்.', 'சாட்சி… See more']"
3,62f0a69b63da2312df895b71,2022-08-01,Madras Talkies,https://www.facebook.com/madrastalkiesofficial/photos/pcb.3059776704239910/3059768597574054/,Rajeswari Wordsworth,https://www.facebook.com/nrajeswari?comment_id=Y29tbWVudDozMDU5NzY4NTk3NTc0MDU0XzYxMTYwOTU1NzI2MDI0MA%3D%3D&__tn__=R*F,"1.4K
1.4K",['22 comments'],['52 shares'],"1.4K
1.4K
22 comments
52 shares","Rajeswari Wordsworth
ட்ரெஸ் லூசு மாதிரி இருக்கு, வந்தியத் தேவனாம்!","['Rajeswari Wordsworth', 'ட்ரெஸ் லூசு மாதிரி இருக்கு, வந்தியத் தேவனாம்!']"
4,62f0a69b63da2312df895b72,2022-08-01,Madras Talkies,https://www.facebook.com/madrastalkiesofficial/photos/pcb.3059776704239910/3059768597574054/,Shaik Abdul Rehamani,https://www.facebook.com/SHAIKABDULREHAMANS.A.R?comment_id=Y29tbWVudDozMDU5NzY4NTk3NTc0MDU0XzYwMDMxMTY4ODIxMzI0Mw%3D%3D&__tn__=R*F,"1.4K
1.4K",['22 comments'],['52 shares'],"1.4K
1.4K
22 comments
52 shares","Shaik Abdul Rehamani
వాటర్ మార్క్ లేకుండా పెట్టు రా సాంబార్","['Shaik Abdul Rehamani', 'వాటర్ మార్క్ లేకుండా పెట్టు రా సాంబార్']"
5,62f0a69b63da2312df895b73,2022-08-01,Madras Talkies,https://www.facebook.com/madrastalkiesofficial/photos/pcb.3059776704239910/3059768597574054/,Yendrum Anbudan,https://www.facebook.com/yendrum.anbudan.3?comment_id=Y29tbWVudDozMDU5NzY4NTk3NTc0MDU0XzQ2MTM4NjQyNTUwNjIwOQ%3D%3D&__tn__=R*F,"1.4K
1.4K",['22 comments'],['52 shares'],"1.4K
1.4K
22 comments
52 shares","Yendrum Anbudan
திருநீறு இல்லாத வந்தியத்தேவன்","['Yendrum Anbudan', 'திருநீறு இல்லாத வந்தியத்தேவன்']"
6,62f0a69b63da2312df895b74,2022-08-01,Madras Talkies,https://www.facebook.com/madrastalkiesofficial/photos/pcb.3059776704239910/3059768597574054/,சிவா தமிழ்தேசியன்,https://www.facebook.com/siva.hr?comment_id=Y29tbWVudDozMDU5NzY4NTk3NTc0MDU0XzgwNzYwNzY1NzA2ODk5Nw%3D%3D&__tn__=R*F,"1.4K
1.4K",['22 comments'],['52 shares'],"1.4K
1.4K
22 comments
52 shares","சிவா தமிழ்தேசியன்
எங்கப்பா திருநீற்று பட்டைய காணும் ஓஓஓ நாமகுரூபா சரிசரி","['சிவா தமிழ்தேசியன்', 'எங்கப்பா திருநீற்று பட்டைய காணும் ஓஓஓ நாமகுரூபா சரிசரி']"
7,62f0a69b63da2312df895b75,2022-08-01,Madras Talkies,https://www.facebook.com/madrastalkiesofficial/photos/pcb.3059776704239910/3059768597574054/,Latha Pirabaharan,https://www.facebook.com/latha.pirabaharan?comment_id=Y29tbWVudDozMDU5NzY4NTk3NTc0MDU0XzQyNzMyMjUxNjAxOTQ5Mw%3D%3D&__tn__=R*F,"1.4K
1.4K",['22 comments'],['52 shares'],"1.4K
1.4K
22 comments
52 shares","Latha Pirabaharan
எப்ப September வரும்","['Latha Pirabaharan', 'எப்ப September வரும்']"
8,62f0a69b63da2312df895b76,2022-08-01,Madras Talkies,https://www.facebook.com/madrastalkiesofficial/photos/pcb.3059776704239910/3059768597574054/,Lelukshan Arunasalam,https://www.facebook.com/lelukshan.arunasalam?comment_id=Y29tbWVudDozMDU5NzY4NTk3NTc0MDU0XzczNjQ4ODUzMDk3OTAwMA%3D%3D&__tn__=R*F,"1.4K
1.4K",['22 comments'],['52 shares'],"1.4K
1.4K
22 comments
52 shares","Lelukshan Arunasalam
நீறில்லா நெற்றி பாழ்........!","['Lelukshan Arunasalam', 'நீறில்லா நெற்றி பாழ்........!']"
9,62f0a69b63da2312df895b77,2022-08-01,Madras Talkies,https://www.facebook.com/madrastalkiesofficial/photos/pcb.3059776704239910/3059768597574054/,Vijendra Forr Youu,https://www.facebook.com/vijendra.kanthasamy?comment_id=Y29tbWVudDozMDU5NzY4NTk3NTc0MDU0XzEyMjY1ODk3ODQ4NDY3MzE%3D&__tn__=R*F,"1.4K
1.4K",['22 comments'],['52 shares'],"1.4K
1.4K
22 comments
52 shares","Vijendra Forr Youu
Last Thursday ஆடி திருநாள் இல்ல
ஆடி அமாவாசை
Madras Talkies","['Last Thursday ஆடி திருநாள் இல்ல', 'ஆடி அமாவாசை', 'Madras Talkies']"
